ATH	Low_DS_1	Low_DS_2	Low_DS_3	Medium_DS_1	Medium_DS_2	Medium_DS_3	Elevated_DS_1	Elevated_DS_2	Elevated_DS_3	Low_EI_1	Low_EI_2	Low_EI_3	Medium_EI_1	Medium_EI_2	Medium_EI_3	Elevated_EI_1	Elevated_EI_2	Elevated_EI_3	Low_LI_1	Low_LI_2	Low_LI_3	Medium_LI_1	Medium_LI_2	Medium_LI_3	Elevated_LI_1	Elevated_LI_2	Elevated_LI_3
AT1G01010.1	31	131	75	104	83	95	99	102	89	73	41	55	17	72	132	90	14	122	54	58	67	68	82	45	81	59	62
AT1G01020.1	58	132	57	97	83	116	100	122	99	206	109	173	57	186	344	178	41	216	207	193	153	298	336	226	240	192	207
AT1G01030.1	4	35	17	31	31	26	59	77	46	36	7	29	8	48	44	35	10	53	33	26	23	47	60	35	65	36	42
AT1G01040.2	141	629	246	329	370	321	375	433	340	699	547	542	163	808	1134	616	194	910	793	702	799	971	1145	694	691	498	531
AT1G01050.1	330	650	355	463	401	421	542	622	494	514	324	358	163	551	1000	626	121	624	675	591	482	835	826	621	871	651	808
AT1G01060.1	18	58	24	28	16	19	19	30	32	112	87	108	24	146	164	157	37	207	268	264	264	110	92	164	180	84	134
AT1G01070.1	5	2	2	2	1	0	2	0	6	1	1	0	0	0	0	1	0	1	16	2	0	0	0	2	0	0	2
AT1G01073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080.2	26	61	35	53	52	43	54	44	34	113	84	104	59	147	280	223	54	299	536	276	252	523	484	391	667	463	576
AT1G01090.1	44	227	129	132	108	108	141	132	139	304	234	251	89	409	576	461	93	567	957	404	398	778	804	516	889	605	653
AT1G01100.1	783	2085	1292	2108	1591	1753	1887	2044	1731	3737	2384	3019	1319	3648	7660	5442	927	5473	8614	7282	5568	9613	9661	7813	8772	9170	10615
AT1G01110.2	4	10	5	14	8	18	15	27	27	12	7	18	7	39	68	51	9	50	61	51	29	165	163	100	192	141	123
AT1G01115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120.1	3	5	2	3	2	5	2	2	2	98	11	49	23	88	104	55	8	43	76	16	66	12	15	21	66	53	88
AT1G01130.1	1	4	1	1	1	1	1	1	4	14	7	12	2	11	26	12	2	12	18	22	11	17	26	17	27	16	15
AT1G01140.3	44	63	23	31	24	36	28	28	20	246	131	197	56	203	326	117	30	134	100	66	74	184	201	157	176	134	200
AT1G01150.1	0	0	0	0	0	0	0	0	0	3	0	1	0	4	2	1	0	0	1	0	0	0	0	0	0	0	0
AT1G01160.2	686	3116	1856	2587	2041	2162	2620	2713	2023	2009	1373	1642	515	1807	3480	2133	376	2148	2923	2469	1783	2040	2278	1817	1851	1555	1869
AT1G01170.1	1973	6183	4084	4932	3780	4402	5093	5317	4063	3070	2052	2746	774	2321	5988	3697	582	3641	4894	4012	2778	2681	3097	2821	2682	2795	3232
AT1G01180.1	42	326	199	176	184	232	145	154	109	393	209	254	32	149	366	129	15	125	95	67	72	42	48	49	45	29	40
AT1G01190.1	6	35	17	30	18	22	12	11	8	6	6	5	3	3	12	5	0	9	32	4	4	2	6	4	2	1	3
AT1G01200.1	8	33	12	27	15	23	19	25	18	56	31	39	11	38	52	38	14	35	27	26	25	31	47	31	46	28	29
AT1G01210.1	93	239	128	160	210	169	201	203	123	467	361	425	172	490	1112	911	163	942	691	614	449	842	859	774	782	798	965
AT1G01220.1	22	108	50	68	63	75	95	95	73	137	121	91	24	176	226	108	30	156	252	153	138	278	253	145	166	118	152
AT1G01225.1	4	20	14	11	8	7	10	14	15	28	12	20	5	21	18	8	1	14	13	8	5	14	6	10	13	6	10
AT1G01230.1	349	1421	775	836	697	747	629	727	476	932	628	733	174	559	1298	733	130	713	1077	1026	748	699	795	636	593	519	601
AT1G01240.1	564	3879	1827	3318	2913	2968	3506	3824	2945	2278	1635	1998	362	1403	2754	1536	291	1390	2294	2294	1685	1239	1698	1197	1024	685	920
AT1G01250.1	8	125	50	58	53	50	48	54	35	41	41	25	12	26	70	48	8	46	198	159	133	49	80	55	29	32	38
AT1G01260.1	32	268	98	240	199	189	273	308	245	484	327	427	73	374	594	278	59	307	389	371	320	362	411	263	313	214	283
AT1G01280.1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
AT1G01290.1	16	49	39	85	53	48	92	115	77	186	108	91	50	201	334	240	50	281	283	234	179	361	446	272	342	258	304
AT1G01300.1	191	1588	745	1096	913	997	986	1017	891	840	524	486	209	953	1108	1054	209	1444	1506	1439	1277	5160	4778	2403	4964	3029	3217
AT1G01305.1	0	0	1	0	1	0	1	0	8	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AT1G01310.1	6	38	13	32	22	20	15	11	36	9	7	7	2	7	22	14	1	8	15	5	5	8	8	8	4	5	9
AT1G01320.1	150	732	288	688	810	693	1364	1388	1256	572	603	572	250	1355	1786	1578	447	2825	2874	1541	1785	3593	3876	2137	3302	1647	2020
AT1G01340.2	13	45	21	17	9	18	17	6	13	203	101	147	22	144	172	71	11	84	102	87	78	57	74	61	26	16	30
AT1G01350.1	435	2076	1124	1425	1387	1394	1548	1450	1185	1862	1192	1627	334	1313	2987	1185	236	1177	911	929	714	865	1015	830	709	550	663
AT1G01355.1	112	298	178	116	93	104	57	58	45	111	52	63	14	38	78	33	14	28	78	92	68	36	48	37	13	14	14
AT1G01360.1	82	455	219	279	269	250	207	280	197	204	148	213	54	174	304	137	17	126	221	171	152	163	179	129	99	102	109
AT1G01370.1	5	3	0	3	1	1	4	1	7	8	3	9	1	5	4	12	1	5	38	10	3	17	14	13	26	30	23
AT1G01380.1	9	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	1	5	3	2	8	11	7
AT1G01390.1	0	0	0	0	0	0	0	0	1	1	2	0	0	2	0	0	0	0	3	1	1	1	1	1	0	0	5
AT1G01400.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AT1G01420.1	7	61	28	39	54	39	47	48	31	28	14	16	4	17	46	20	3	23	43	31	34	13	14	17	6	8	13
AT1G01430.1	4	14	2	18	16	29	20	31	18	65	51	31	17	75	96	91	14	121	170	119	92	178	192	98	172	115	141
AT1G01440.1	21	134	52	121	99	93	111	105	92	315	180	212	48	225	362	184	36	237	267	254	185	307	299	224	239	148	186
AT1G01450.1	39	238	60	212	217	213	360	356	298	159	174	163	55	269	308	122	33	232	243	269	254	320	377	196	237	112	126
AT1G01453.2	1	0	0	0	0	0	0	0	0	4	1	3	1	1	4	0	0	1	0	0	0	1	0	0	1	2	0
AT1G01460.1	1	5	3	7	7	3	3	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01470.1	4738	21661	11621	17667	14245	14858	20375	24208	16306	11373	7972	10038	1811	6422	15670	8548	1352	6662	7435	6508	4943	3347	3859	3735	2505	1946	2557
AT1G01471.1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AT1G01480.1	252	1534	711	953	838	894	1015	1143	785	1018	731	869	85	348	654	274	65	247	612	667	544	203	242	205	138	83	101
AT1G01490.1	22	79	47	101	69	76	86	86	71	261	136	269	120	406	700	515	87	437	502	509	330	520	612	459	477	371	442
AT1G01500.1	214	1397	641	734	776	716	781	736	574	561	363	417	110	423	718	385	74	326	817	793	648	566	605	417	392	254	327
AT1G01510.1	53	231	107	159	143	132	168	185	146	229	203	203	66	302	512	347	72	350	560	519	423	756	831	501	702	439	599
AT1G01520.1	47	165	81	279	297	280	567	692	478	138	100	106	53	132	230	236	45	276	643	692	510	399	435	386	373	268	314
AT1G01530.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
AT1G01540.2	46	149	65	88	95	95	79	74	62	232	182	160	54	295	440	238	56	269	557	405	316	493	513	338	393	250	334
AT1G01550.1	278	1978	888	1404	1167	1261	1353	1488	1247	2049	1253	1595	322	1381	2394	1145	227	1218	1340	1176	1004	1119	1182	822	780	544	613
AT1G01560.2	2	0	1	2	2	1	1	2	4	2	3	2	3	3	4	4	1	0	2	1	0	0	0	3	1	0	8
AT1G01570.1	1	0	1	3	0	7	16	13	19	1	2	8	1	2	4	5	0	7	18	6	9	14	14	17	37	23	31
AT1G01580.1	135	775	306	348	322	347	330	416	317	284	215	183	57	267	344	243	59	305	315	361	319	266	255	212	281	139	178
AT1G01590.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	2	2	0	0	4	2	0	1	2	1
AT1G01600.1	6	39	21	36	34	35	70	108	65	87	63	66	10	48	76	73	16	76	186	116	78	84	102	103	84	60	65
AT1G01610.1	3	3	0	1	0	2	1	2	0	4	1	1	0	7	2	8	0	17	139	18	31	62	79	42	103	78	115
AT1G01620.1	28	47	30	26	22	37	79	89	67	14	15	11	11	44	34	104	11	116	686	31	29	115	98	92	106	108	137
AT1G01630.1	16	28	14	14	13	11	35	32	19	69	51	62	9	39	122	93	19	112	116	47	38	70	73	49	110	100	124
AT1G01640.1	11	111	52	75	57	60	78	65	48	57	46	33	8	49	96	50	13	49	65	73	39	43	44	37	48	51	49
AT1G01650.1	1060	3276	1267	2426	2010	2180	2359	2468	2205	1449	1005	1071	226	1312	1626	844	203	1081	965	808	795	855	977	638	688	398	479
AT1G01660.1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
AT1G01670.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	1	1	0	0	3	0
