ATH	Elevated_LI_1	Elevated_LI_3	Elevated_LI_2	Elevated_EI_1	Elevated_EI_2	Elevated_EI_3	Elevated_DS_1	Elevated_DS_3	Elevated_DS_2	Low_LI_1	Low_LI_2	Low_LI_3	Low_EI_3	Low_EI_1	Low_EI_2	Low_DS_1	Low_DS_3	Low_DS_2	Medium_LI_1	Medium_LI_2	Medium_LI_3	Medium_EI_2	Medium_EI_1	Medium_EI_3	Medium_DS_1	Medium_DS_3	Medium_DS_2
AT1G01010.1	81	62	59	90	14	122	99	89	102	54	58	67	55	73	41	31	75	131	68	82	45	72	17	132	104	95	83
AT1G01020.1	240	207	192	178	41	216	100	99	122	207	193	153	173	206	109	58	57	132	298	336	226	186	57	344	97	116	83
AT1G01030.1	65	42	36	35	10	53	59	46	77	33	26	23	29	36	7	4	17	35	47	60	35	48	8	44	31	26	31
AT1G01040.2	691	531	498	616	194	910	375	340	433	793	702	799	542	699	547	141	246	629	971	1145	694	808	163	1134	329	321	370
AT1G01050.1	871	808	651	626	121	624	542	494	622	675	591	482	358	514	324	330	355	650	835	826	621	551	163	1000	463	421	401
AT1G01060.1	180	134	84	157	37	207	19	32	30	268	264	264	108	112	87	18	24	58	110	92	164	146	24	164	28	19	16
AT1G01070.1	0	2	0	1	0	1	2	6	0	16	2	0	0	1	1	5	2	2	0	0	2	0	0	0	2	0	1
AT1G01073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080.2	667	576	463	223	54	299	54	34	44	536	276	252	104	113	84	26	35	61	523	484	391	147	59	280	53	43	52
AT1G01090.1	889	653	605	461	93	567	141	139	132	957	404	398	251	304	234	44	129	227	778	804	516	409	89	576	132	108	108
AT1G01100.1	8772	10615	9170	5442	927	5473	1887	1731	2044	8614	7282	5568	3019	3737	2384	783	1292	2085	9613	9661	7813	3648	1319	7660	2108	1753	1591
AT1G01110.2	192	123	141	51	9	50	15	27	27	61	51	29	18	12	7	4	5	10	165	163	100	39	7	68	14	18	8
AT1G01115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120.1	66	88	53	55	8	43	2	2	2	76	16	66	49	98	11	3	2	5	12	15	21	88	23	104	3	5	2
AT1G01130.1	27	15	16	12	2	12	1	4	1	18	22	11	12	14	7	1	1	4	17	26	17	11	2	26	1	1	1
AT1G01140.3	176	200	134	117	30	134	28	20	28	100	66	74	197	246	131	44	23	63	184	201	157	203	56	326	31	36	24
AT1G01150.1	0	0	0	1	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	4	0	2	0	0	0
AT1G01160.2	1851	1869	1555	2133	376	2148	2620	2023	2713	2923	2469	1783	1642	2009	1373	686	1856	3116	2040	2278	1817	1807	515	3480	2587	2162	2041
AT1G01170.1	2682	3232	2795	3697	582	3641	5093	4063	5317	4894	4012	2778	2746	3070	2052	1973	4084	6183	2681	3097	2821	2321	774	5988	4932	4402	3780
AT1G01180.1	45	40	29	129	15	125	145	109	154	95	67	72	254	393	209	42	199	326	42	48	49	149	32	366	176	232	184
AT1G01190.1	2	3	1	5	0	9	12	8	11	32	4	4	5	6	6	6	17	35	2	6	4	3	3	12	30	22	18
AT1G01200.1	46	29	28	38	14	35	19	18	25	27	26	25	39	56	31	8	12	33	31	47	31	38	11	52	27	23	15
AT1G01210.1	782	965	798	911	163	942	201	123	203	691	614	449	425	467	361	93	128	239	842	859	774	490	172	1112	160	169	210
AT1G01220.1	166	152	118	108	30	156	95	73	95	252	153	138	91	137	121	22	50	108	278	253	145	176	24	226	68	75	63
AT1G01225.1	13	10	6	8	1	14	10	15	14	13	8	5	20	28	12	4	14	20	14	6	10	21	5	18	11	7	8
AT1G01230.1	593	601	519	733	130	713	629	476	727	1077	1026	748	733	932	628	349	775	1421	699	795	636	559	174	1298	836	747	697
AT1G01240.1	1024	920	685	1536	291	1390	3506	2945	3824	2294	2294	1685	1998	2278	1635	564	1827	3879	1239	1698	1197	1403	362	2754	3318	2968	2913
AT1G01250.1	29	38	32	48	8	46	48	35	54	198	159	133	25	41	41	8	50	125	49	80	55	26	12	70	58	50	53
AT1G01260.1	313	283	214	278	59	307	273	245	308	389	371	320	427	484	327	32	98	268	362	411	263	374	73	594	240	189	199
AT1G01280.1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
AT1G01290.1	342	304	258	240	50	281	92	77	115	283	234	179	91	186	108	16	39	49	361	446	272	201	50	334	85	48	53
AT1G01300.1	4964	3217	3029	1054	209	1444	986	891	1017	1506	1439	1277	486	840	524	191	745	1588	5160	4778	2403	953	209	1108	1096	997	913
AT1G01305.1	0	0	0	0	0	0	1	8	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1
AT1G01310.1	4	9	5	14	1	8	15	36	11	15	5	5	7	9	7	6	13	38	8	8	8	7	2	22	32	20	22
AT1G01320.1	3302	2020	1647	1578	447	2825	1364	1256	1388	2874	1541	1785	572	572	603	150	288	732	3593	3876	2137	1355	250	1786	688	693	810
AT1G01340.2	26	30	16	71	11	84	17	13	6	102	87	78	147	203	101	13	21	45	57	74	61	144	22	172	17	18	9
AT1G01350.1	709	663	550	1185	236	1177	1548	1185	1450	911	929	714	1627	1862	1192	435	1124	2076	865	1015	830	1313	334	2987	1425	1394	1387
AT1G01355.1	13	14	14	33	14	28	57	45	58	78	92	68	63	111	52	112	178	298	36	48	37	38	14	78	116	104	93
AT1G01360.1	99	109	102	137	17	126	207	197	280	221	171	152	213	204	148	82	219	455	163	179	129	174	54	304	279	250	269
AT1G01370.1	26	23	30	12	1	5	4	7	1	38	10	3	9	8	3	5	0	3	17	14	13	5	1	4	3	1	1
AT1G01380.1	8	7	11	0	0	0	0	0	0	2	0	1	2	0	0	9	0	0	5	3	2	1	0	0	1	0	1
AT1G01390.1	0	5	0	0	0	0	0	1	0	3	1	1	0	1	2	0	0	0	1	1	1	2	0	0	0	0	0
AT1G01400.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420.1	6	13	8	20	3	23	47	31	48	43	31	34	16	28	14	7	28	61	13	14	17	17	4	46	39	39	54
AT1G01430.1	172	141	115	91	14	121	20	18	31	170	119	92	31	65	51	4	2	14	178	192	98	75	17	96	18	29	16
AT1G01440.1	239	186	148	184	36	237	111	92	105	267	254	185	212	315	180	21	52	134	307	299	224	225	48	362	121	93	99
AT1G01450.1	237	126	112	122	33	232	360	298	356	243	269	254	163	159	174	39	60	238	320	377	196	269	55	308	212	213	217
AT1G01453.2	1	0	2	0	0	1	0	0	0	0	0	0	3	4	1	1	0	0	1	0	0	1	1	4	0	0	0
AT1G01460.1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	3	5	0	0	0	1	0	2	7	3	7
AT1G01470.1	2505	2557	1946	8548	1352	6662	20375	16306	24208	7435	6508	4943	10038	11373	7972	4738	11621	21661	3347	3859	3735	6422	1811	15670	17667	14858	14245
AT1G01471.1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AT1G01480.1	138	101	83	274	65	247	1015	785	1143	612	667	544	869	1018	731	252	711	1534	203	242	205	348	85	654	953	894	838
AT1G01490.1	477	442	371	515	87	437	86	71	86	502	509	330	269	261	136	22	47	79	520	612	459	406	120	700	101	76	69
AT1G01500.1	392	327	254	385	74	326	781	574	736	817	793	648	417	561	363	214	641	1397	566	605	417	423	110	718	734	716	776
AT1G01510.1	702	599	439	347	72	350	168	146	185	560	519	423	203	229	203	53	107	231	756	831	501	302	66	512	159	132	143
AT1G01520.1	373	314	268	236	45	276	567	478	692	643	692	510	106	138	100	47	81	165	399	435	386	132	53	230	279	280	297
AT1G01530.1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
AT1G01540.2	393	334	250	238	56	269	79	62	74	557	405	316	160	232	182	46	65	149	493	513	338	295	54	440	88	95	95
AT1G01550.1	780	613	544	1145	227	1218	1353	1247	1488	1340	1176	1004	1595	2049	1253	278	888	1978	1119	1182	822	1381	322	2394	1404	1261	1167
AT1G01560.2	1	8	0	4	1	0	1	4	2	2	1	0	2	2	3	2	1	0	0	0	3	3	3	4	2	1	2
AT1G01570.1	37	31	23	5	0	7	16	19	13	18	6	9	8	1	2	1	1	0	14	14	17	2	1	4	3	7	0
AT1G01580.1	281	178	139	243	59	305	330	317	416	315	361	319	183	284	215	135	306	775	266	255	212	267	57	344	348	347	322
AT1G01590.1	1	1	2	3	1	2	0	0	0	2	0	0	0	0	0	0	0	0	4	2	0	1	0	0	0	0	0
AT1G01600.1	84	65	60	73	16	76	70	65	108	186	116	78	66	87	63	6	21	39	84	102	103	48	10	76	36	35	34
AT1G01610.1	103	115	78	8	0	17	1	0	2	139	18	31	1	4	1	3	0	3	62	79	42	7	0	2	1	2	0
AT1G01620.1	106	137	108	104	11	116	79	67	89	686	31	29	11	14	15	28	30	47	115	98	92	44	11	34	26	37	22
AT1G01630.1	110	124	100	93	19	112	35	19	32	116	47	38	62	69	51	16	14	28	70	73	49	39	9	122	14	11	13
AT1G01640.1	48	49	51	50	13	49	78	48	65	65	73	39	33	57	46	11	52	111	43	44	37	49	8	96	75	60	57
AT1G01650.1	688	479	398	844	203	1081	2359	2205	2468	965	808	795	1071	1449	1005	1060	1267	3276	855	977	638	1312	226	1626	2426	2180	2010
AT1G01660.1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AT1G01670.1	0	0	3	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
AT1G01680.1	3	4	1	0	0	2	0	1	1	0	1	0	4	6	3	0	0	2	3	0	2	1	1	6	1	0	2
AT1G01690.1	56	44	28	41	9	63	15	10	14	80	45	49	25	23	15	3	1	20	62	85	50	37	5	50	21	12	5
AT1G01695.1	0	0	2	3	2	0	0	1	2	3	0	1	0	0	3	0	2	0	2	0	0	1	1	0	1	1	1
AT1G01700.1	33	24	16	11	6	31	14	16	15	45	29	26	9	37	19	3	5	19	56	77	24	26	4	26	17	8	8
AT1G01710.1	732	552	469	562	132	601	977	844	1087	818	740	573	571	768	449	559	741	1455	788	917	574	605	144	1078	999	912	819
AT1G01720.1	3052	2367	1992	5471	1043	5246	22742	21100	24505	7049	7064	5817	10382	11231	7912	8543	22983	51305	4917	6142	4246	7494	1543	13342	31374	27323	25482
AT1G01725.1	198	231	210	318	48	259	757	803	882	534	422	319	369	556	320	226	822	1396	307	354	323	397	106	628	1158	801	662
AT1G01730.1	564	581	466	1019	174	1000	1362	1092	1536	870	753	658	958	1184	806	387	1009	2145	656	775	597	1019	231	1832	1438	1163	1049
AT1G01740.1	143	131	115	133	21	156	45	34	41	148	126	104	63	63	38	16	20	53	176	174	141	199	30	218	23	29	39
AT1G01750.1	27	16	11	6	3	16	7	5	8	24	20	19	4	13	12	2	1	4	20	32	19	23	3	12	7	5	3
AT1G01760.1	50	64	33	15	4	20	15	4	20	51	48	55	22	22	25	3	4	7	86	77	36	36	4	32	10	15	7
AT1G01770.1	423	285	184	222	82	382	304	278	340	243	294	303	187	208	164	62	71	273	450	554	285	371	62	494	162	214	203
AT1G01780.1	204	105	85	106	22	131	130	93	172	129	105	87	58	128	83	33	48	123	201	226	112	205	31	122	120	115	69
AT1G01790.1	100	96	54	30	7	76	7	11	2	384	43	41	23	10	14	9	6	16	109	103	58	55	7	70	3	8	7
AT1G01800.1	908	1016	808	885	152	791	1078	751	1207	909	769	624	602	684	425	272	538	1007	805	801	781	579	146	1352	709	644	631
AT1G01810.1	115	83	76	233	35	198	73	71	68	126	76	87	183	252	149	16	39	78	100	138	114	207	59	394	90	59	64
AT1G01820.1	1238	1130	936	1481	287	1439	2085	1651	2269	1707	1678	1275	1286	1549	1125	1451	1645	3253	1504	1616	1220	1303	362	2578	2055	1768	1708
AT1G01830.2	145	134	106	73	16	76	81	83	99	120	81	63	15	27	12	5	8	21	104	111	75	50	8	68	41	57	38
AT1G01840.1	116	133	111	92	23	113	40	31	40	119	92	69	56	90	54	10	37	73	123	146	116	80	28	172	53	44	41
AT1G01860.1	263	273	238	156	34	201	90	68	123	273	222	184	133	171	107	58	83	170	285	318	247	146	40	264	93	93	92
AT1G01880.1	40	37	32	20	3	36	46	30	28	52	36	31	17	33	19	21	32	71	45	42	26	18	3	32	41	45	34
AT1G01900.1	0	2	5	5	2	18	4	71	6	62	3	1	7	8	8	2	0	12	1	3	6	4	2	8	4	2	6
AT1G01910.1	827	684	568	881	173	949	625	502	636	702	581	535	902	1127	697	409	643	1267	919	1063	669	845	201	1560	742	644	636
